"","","","of the","Accounts  of
of  the","of the"
"","","","Government","Activities  of the
Government","Government"
"","","","","Government",""
"","","","Rs.","Rs.
Rs.","Rs."
"","1 1","Office  of  the  Finance  Commission 01101 Advances  to  Public  Officers","3,000,000","1,700,000
13,000,000","—"
"","1 2","Parliament
01601 Advances  to  Public  Officers","31,000,000","25,000,000 200,000,000","—"
"","1 3","Office  of  the  Leader  of  the","","",""
"","","House  of  Parliament
01701 Advances  to  Public  Officers","2,000,000","2,000,000
  6,000,000","—"
"5","1 4","Office  of  the  Chief  Govt.","","",""
"","","Whip  of  Parliament
01801 Advances  to  Public  Officers","2,700,000","2,000,000
9,000,000","—"
"","1 5","Office  of  the  Leader  of","","",""
"","","the  Opposition  of  Parliament
01901 Advances  to  Public  Officers","2,500,000","1,400,000
11,000,000","—"
"","1 6","Election  Commission
02001 Advances  to  Public  Officers","31,000,000","16,000,000
  85,000,000","—"
"10","1 7","National  Audit  Office
02101 Advances  to  Public  Officers","61,000,000","49,000,000 307,000,000","—"
"","1 8","Office  of  the  Parliamentary","","",""
"","","Commissioner  for  Administration
02201 Advances  to  Public  Officers","1,500,000","500,000
5,200,000","—"
"","1 9","Audit  Service  Commission
02301 Advances  to  Public  Officers","2,000,000","1,600,000
4,000,000","—"
"","2 0","National Procurement Commission
02401 Advances  to  Public  Officers","2,000,000","700,000
5,000,000","—"
"15","2 1","Delimitation  Commission
02501 Advances  to  Public  Officers","1,000,000","100,000
4,000,000","—"
