"","","III ෙක(ටස - (cid:2) ලංකා (cid:7)ජාතා(cid:10)(cid:11)ක සමාජවා(cid:15) ජනරජෙ(cid:19) අ(cid:27) (cid:28)ෙශෂ ගැස(cid:22) ප(cid:24)ය - 2019.11.20","","","","","11 A"
"","","PART  III – GAZETTE EXTRA ORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 20.11.2019","","","","",""
"","","","SCHEDULE","","","",""
"","","","","","","Particulars","Particulars"
"","","","","","Class and","regarding","if"
"","","","National","Extent","Nature","Mortgages","subject"
"Parcel","Extent","Full Name/s of Owner/s","Identity","Owned","of","Encumbrances","to any"
"No.","","and Address","Card No.","","Title","pending","form of"
"","","","","","","Adjudication","special or"
"","","","","","","and","personal"
"","","","","","","Injunction","law"
"","(Hectare)","","","","","",""
"1","0.5712","Pradeshiya Sabha - Rajanganaya","–","Full","1st Class","–","Road ."
"2","0.2137","The State","–","Full","1st Class","–","–"
"3","0.0331","The State","–","Full","1st Class","–","–"
"4","0.2023","The State","–","Full","1st Class","–","–"
"5","0.1088","The State","–","Full","1st Class","–","–"
"6","0.1132","The State","–","Full","1st Class","–","–"
"7","0.1073","The State","–","Full","1st Class","–","–"
"8","0.1890","The State","–","Full","1st Class","–","–"
"15","0.0120","The State","–","Full","1st Class","–","Access Road"
"","","","","","","","Road ."
"23","0.0118","The State","–","Full","1st Class","–","Access Road"
"","","","","","","","Road ."
"25","0.0080","The State","–","Full","1st Class","–","Access Road"
"","","","","","","","Road ."
"32","0.7517","The State","–","Full","1st Class","–","–"
"38","0.1901","The State","–","Full","1st Class","–","Lake is part"
"","","","","","","","of the reserve."
"40","0.1325","The State","–","Full","1st Class","–","–"
"41","0.2023","The State","–","Full","1st Class","–","–"
"42","0.1774","The State","–","Full","1st Class","–","–"
"43","0.1788","The State","–","Full","1st Class","–","–"
"44","0.3089","The State","–","Full","1st Class","–","–"
"45","0.2023","The State","–","Full","1st Class","–","–"
"46","0.0584","The State","–","Full","1st Class","–","Lake is part"
"","","","","","","","of the reserve."
"47","0.0275","The State","–","Full","1st Class","–","–"
"48","0.0308","The State","–","Full","1st Class","–","–"
"49","0.1392","The State","–","Full","1st Class","–","–"
"50","0.1131","The State","–","Full","1st Class","–","–"
"51","0.0156","The State","–","Full","1st Class","–","–"
"52","0.1071","The State","–","Full","1st Class","–","–"
"53","0.1063","The State","–","Full","1st Class","–","–"
"54","0.0472","The State","–","Full","1st Class","–","–"
"55","0.0776","The State","–","Full","1st Class","–","–"
"56","0.0142","The State","–","Full","1st Class","–","–"
"1
  57","0.0992","The State","–","Full","1st Class","–","–"
