"","","III ෙක)ටස 
 ලංකා (cid:7)ජාතා(cid:10)(cid:11)
ෙක)ටස ::::    (cid:1)(cid:1)(cid:1)(cid:1) ලංකා (cid:7)","","ක සමාජවා(cid:15) ජනරජෙ(cid:19) අ(cid:27) (cid:28)ෙශෂ ගැස(cid:22) ප(cid:24)ය ය ය ය ----    2019","","2019....11111111....20202020","5A"
"","","","","උපෙ=ඛනය – ((((ස-බ(cid:10)(cid:132)ත‘","","",""
"","","","","","","(cid:28)(ශ්චය(cid:10) සහ","ය- (cid:28)ෙශrෂ ෙහs"
"","","","","","","ඉ(cid:10)ෙජ(cid:10)ෂ(cid:10) තහන-","ෙපt$ග0ක"
"","ඉඩ-  (cid:28)ශාල;වය","අ‘(cid:27)කEෙ@/අ‘(cid:27)කEව(cid:10)ෙ@","ජ","ා
(cid:27)ක","අ‘(cid:27) 
අ‘(cid:27)ෙ(cid:19)","අෙiIෂාෙව(cid:10) ඇ(cid:27)  g(cid:27)යකට යට;",""
"ෙක)ටෙසr","","ස-ufණ නම/න- සහ 0!නය","හ
ැ","vG-ප;","ඉඩෙ- 
ප(cid:10)(cid:27)ය සහ","උකස් සහ බැw-","න- ඒ !yබඳ"
"අංකය","","","අ","ං
කය","(cid:7)මාණය 
ස
වභාවය","!yබඳ (cid:28)ස්තර","(cid:28)ස්තර"
"","(
ෙහIටයාf)","","","","","",""
"48","0.0108","(cid:7)ාෙ$(cid:134)ය සභාව,","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","මාfගය3."
"49","0.0187","රජය","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","–"
"50","0.0351","රජය","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","–"
"52","0.0596","රජය","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","මාfගය සහ ජල"
"","","","","","","","මාfගය3."
"53","0.0474","රජය","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","–"
"54","0.1621","රජය","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","–"
"56","0.0139","රජය","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","ජල මාfගය 1ෙ@"
"","","","","","","","ෙව(cid:10) කල (cid:129)ම3."
"57","0.0031","රජය","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","ජල මාfගය3."
"58","0.0137","රජය","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","ජල මාfගය 1ෙ@"
"","","","","","","","ෙව(cid:10) කල (cid:129)ම3."
"60","0.0354","රජය","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","–"
"62","0.0304","රජය","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","ජල මාfගය 1ෙ@"
"","","","","","","","ෙව(cid:10) කල (cid:129)ම3."
"63","0.0106","රජය","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","ජල මාfගය3."
"64","0.0287","රජය","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","ජල මාfගය 1ෙ@"
"","","","","","","","ෙව(cid:10) කල (cid:129)ම3."
"69","0.0304","රජය","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","(cid:7)ෙmශ"
"","","","","","","","මාfගය3."
"71","0.0282","රජය","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","–"
"75","0.0371","රජය","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","–"
"77","0.0631","රජය","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","–"
"79","0.0215","රජය","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","(cid:7)ෙmශ"
"","","","","","","","මාfගය3."
"80","0.1642","රජය","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","–"
"83","0.1486","රජය","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","–"
"86","0.0172","රජය","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","–"
"87","0.0769","රජය","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","–"
"88","0.0759","රජය","","–","ස-ufණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","බලප(cid:24) අංක LL"
"","","","","","","","- 14 යටෙ; අංක"
